alpha_percent,k,scenario,baseline_holder_count,holder_count,baseline_total_sats,post_total_sats,supply_diff_sats,baseline_hhi,hhi,delta_hhi,baseline_nakamoto_33,nakamoto_33,delta_nakamoto,hhi_direction,naka_direction
0.5,1,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,7.6946542060852454e-05,4.338705162728665e-05,11162,11046,-116,DETERIORATED,DETERIORATED
0.5,5,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,4.5414468674781963e-05,1.185497824121616e-05,11162,11046,-116,DETERIORATED,DETERIORATED
1.0,1,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.00017014711279285583,0.00013658762235929002,11162,10929,-233,DETERIORATED,DETERIORATED
1.0,5,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,6.7198866255750158e-05,3.3639375822184355e-05,11162,10929,-233,DETERIORATED,DETERIORATED
2.0,1,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.00050598881157104948,0.0004724293211374837,11162,10692,-470,DETERIORATED,DETERIORATED
2.0,5,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.00014055591943698266,0.00010699642900341685,11162,10692,-470,DETERIORATED,DETERIORATED
5.0,1,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.0027090383664191355,0.0026754788759855695,11162,9950,-1212,DETERIORATED,DETERIORATED
5.0,5,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.0005989331431350308,0.000565373652701465,11162,9950,-1212,DETERIORATED,DETERIORATED
10.0,1,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.010365869152877629,0.010332309662444063,11162,8603,-2559,DETERIORATED,DETERIORATED
10.0,5,pi_I,37564,37564,171831920736257,171831920736257,0,3.3559490433565803e-05,0.0021572487298129766,0.0021236892393794106,11162,8603,-2559,DETERIORATED,DETERIORATED
0.5,1,pi_T,37564,37565,171831920736257,171831920736257,0,3.3559490433565803e-05,5.822473451650385e-05,2.4665244082938047e-05,11162,11047,-115,DETERIORATED,DETERIORATED
1.0,1,pi_T,37564,37565,171831920736257,171831920736257,0,3.3559490433565803e-05,0.00013289165657395059,9.9332166140384779e-05,11162,10930,-232,DETERIORATED,DETERIORATED
