alpha_percent,scenario,holder_count,post_total_sats,supply_diff_sats,hhi,nakamoto_33,baseline_hhi,baseline_nakamoto_33,delta_hhi,delta_nakamoto
1.0,pi_I,37564,171831920736257.000000001,0.000000001,8.5077087853461213e-05,10929,3.3559490433565803e-05,11162,5.1517597419895409e-05,-233
10.0,pi_I,37564,171831920736257.000000001,0.000000001,0.0035318992291861286,8603,3.3559490433565803e-05,11162,0.0034983397387525626,-2559
0.5,pi_I,37564,171831920736256.999999999,-0.000000001,5.1031723130872354e-05,11046,3.3559490433565803e-05,11162,1.7472232697306551e-05,-116
2.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00020288721337453642,10692,3.3559490433565803e-05,11162,0.00016932772294097061,-470
5.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00095407275854500148,9950,3.3559490433565803e-05,11162,0.0009205132681114357,-1212
1.0,pi_T,37567,171831920736257.000000001,0.000000001,6.62249899072839e-05,10932,3.3559490433565803e-05,11162,3.26654994737181e-05,-230
10.0,pi_T,37567,171831920736257.000000001,0.000000001,0.0033605165205845304,8606,3.3559490433565803e-05,11162,0.0033269570301509644,-2556
0.5,pi_T,37567,171831920736256.999999999,-0.000000001,4.1558067849837244e-05,11049,3.3559490433565803e-05,11162,7.99857741627144e-06,-113
2.0,pi_T,37567,171831920736256.999999999,-0.000000001,0.00016556386794574232,10695,3.3559490433565803e-05,11162,0.00013200437751217651,-467
5.0,pi_T,37567,171831920736256.999999999,-0.000000001,0.00086362077344963762,9953,3.3559490433565803e-05,11162,0.00083006128301607183,-1209
0.5,pi_D,47564,171831920736257,0,3.3227234516503912e-05,11219,3.3559490433565803e-05,11162,-3.3225591706189127e-07,57
1.0,pi_D,47564,171831920736257,0,3.2901656573950565e-05,11276,3.3559490433565803e-05,11162,-6.5783385961523812e-07,114
2.0,pi_D,47564,171831920736257,0,3.2270534612408963e-05,11393,3.3559490433565803e-05,11162,-1.2889558211568404e-06,231
5.0,pi_D,47564,171831920736257,0,3.0537440116304325e-05,11759,3.3559490433565803e-05,11162,-3.0220503172614786e-06,597
10.0,pi_D,47564,171831920736257,0,2.8183187251198692e-05,12422,3.3559490433565803e-05,11162,-5.3763031823671113e-06,1260
