ownership_model,baseline_holder_count,baseline_total_sats,baseline_hhi,baseline_nakamoto_33,alpha_percent,scenario,holder_count,post_total_sats,supply_diff_sats,hhi,nakamoto_33,delta_hhi,delta_nakamoto,hhi_direction,naka_direction
Combined,37264,171831920736257,3.3643678267112657e-05,11149,1.0,pi_I,37264,171831920736257.000000001,0.000000001,8.5159600349115651e-05,10916,5.1515922082002994e-05,-233,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,10.0,pi_I,37264,171831920736257.000000001,0.000000001,0.0035319674213312971,8590,0.0034983237430641846,-2559,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,0.5,pi_I,37264,171831920736256.999999999,-0.000000001,5.1115071190774719e-05,11033,1.7471392923662061e-05,-116,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,2.0,pi_I,37264,171831920736256.999999999,-0.000000001,0.00020296806736987011,10679,0.00016932438910275744,-470,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,5.0,pi_I,37264,171831920736256.999999999,-0.000000001,0.00095414873806477394,9937,0.00092050505979766124,-1212,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,1.0,pi_T,37267,171831920736257.000000001,0.000000001,6.6307502402938358e-05,10919,3.26638241358257e-05,-230,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,10.0,pi_T,37267,171831920736257.000000001,0.000000001,0.003360584712729701,8593,0.0033269410344625885,-2556,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,0.5,pi_T,37267,171831920736256.999999999,-0.000000001,4.1641415909739445e-05,11036,7.9977376426267879e-06,-113,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,2.0,pi_T,37267,171831920736256.999999999,-0.000000001,0.00016564472194107588,10682,0.00013200104367396323,-467,DETERIORATED,DETERIORATED
Combined,37264,171831920736257,3.3643678267112657e-05,11149,5.0,pi_T,37267,171831920736256.999999999,-0.000000001,0.00086369675296940921,9940,0.00083005307470229652,-1209,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,1.0,pi_I,37270,171831920736257.000000001,0.000000001,8.5129607453911341e-05,10922,5.151653105926499e-05,-232,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,10.0,pi_I,37270,171831920736257.000000001,0.000000001,0.0035319426338145973,8596,0.003498329557419951,-2558,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,0.5,pi_I,37270,171831920736256.999999999,-0.000000001,5.1084774571986257e-05,11039,1.7471698177339905e-05,-115,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,2.0,pi_I,37270,171831920736256.999999999,-0.000000001,0.0002029386773315531,10684,0.00016932560093690675,-470,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,5.0,pi_I,37270,171831920736256.999999999,-0.000000001,0.00095412111987487451,9942,0.0009205080434802281,-1212,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,1.0,pi_T,37273,171831920736257.000000001,0.000000001,6.6277509507734061e-05,10925,3.266443311308771e-05,-229,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,10.0,pi_T,37273,171831920736257.000000001,0.000000001,0.0033605599252130034,8599,0.0033269468488183571,-2555,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,0.5,pi_T,37273,171831920736256.999999999,-0.000000001,4.161111929095097e-05,11042,7.9980428963046185e-06,-112,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,2.0,pi_T,37273,171831920736256.999999999,-0.000000001,0.0001656153319027593,10687,0.00013200225550811295,-467,DETERIORATED,DETERIORATED
SpendingHistoryBound,37270,171831920736257,3.3613076394646351e-05,11154,5.0,pi_T,37273,171831920736256.999999999,-0.000000001,0.00086366913477950837,9945,0.00083005605838486207,-1209,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,1.0,pi_I,37558,171831920736257.000000001,0.000000001,8.5107080748665523e-05,10924,5.1516988442633386e-05,-232,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,10.0,pi_I,37558,171831920736257.000000001,0.000000001,0.0035319240167028237,8598,0.0034983339243967915,-2558,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,0.5,pi_I,37558,171831920736256.999999999,-0.000000001,5.1062019749660837e-05,11040,1.74719274436287e-05,-116,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,2.0,pi_I,37558,171831920736256.999999999,-0.000000001,0.00020291660341285311,10686,0.00016932651110682098,-470,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,5.0,pi_I,37558,171831920736256.999999999,-0.000000001,0.00095410037673490178,9944,0.0009205102844288696,-1212,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,1.0,pi_T,37561,171831920736257.000000001,0.000000001,6.6254982802488175e-05,10927,3.2664890496456038e-05,-229,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,10.0,pi_T,37561,171831920736257.000000001,0.000000001,0.00336054130810123,8601,0.003326951215795198,-2555,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,0.5,pi_T,37561,171831920736256.999999999,-0.000000001,4.1588364468625719e-05,11043,7.9982721625935827e-06,-113,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,2.0,pi_T,37561,171831920736256.999999999,-0.000000001,0.00016559325798405893,10689,0.0001320031656780268,-467,DETERIORATED,DETERIORATED
PublicLabel,37558,171831920736257,3.3590092306032137e-05,11156,5.0,pi_T,37561,171831920736256.999999999,-0.000000001,0.00086364839163953846,9947,0.00083005829933350628,-1209,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,1.0,pi_I,37564,171831920736257.000000001,0.000000001,8.5077087853461226e-05,10929,5.1517597419895423e-05,-233,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,10.0,pi_I,37564,171831920736257.000000001,0.000000001,0.0035318992291861278,8603,0.0034983397387525618,-2559,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,0.5,pi_I,37564,171831920736256.999999999,-0.000000001,5.1031723130872354e-05,11046,1.7472232697306551e-05,-116,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,2.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00020288721337453642,10692,0.00016932772294097061,-470,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,5.0,pi_I,37564,171831920736256.999999999,-0.000000001,0.00095407275854500159,9950,0.0009205132681114358,-1212,DETERIORATED,DETERIORATED
Address,37564,171831920736257,3.3559490433565803e-05,11162,1.0,pi_T,37567,171831920736257.000000001,0.000000001,6.6224989907283919e-05,10932,3.2665499473718116e-05,-230,DETERIORATED,DETERIORATED
