tau_percent,alpha_percent,scenario,baseline_holder_count,holder_count,baseline_total_sats,post_total_sats,supply_diff_sats,baseline_hhi,hhi,delta_hhi,baseline_nakamoto,nakamoto,delta_nakamoto,naka_direction
25.0,10.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,2.8183187251198692e-05,-5.3763031823671113e-06,8412,9367,955,IMPROVED
33.0,10.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,2.8183187251198692e-05,-5.3763031823671113e-06,11162,12422,1260,IMPROVED
50.0,10.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,2.8183187251198692e-05,-5.3763031823671113e-06,17004,18913,1909,IMPROVED
25.0,5.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.0537440116304325e-05,-3.0220503172614786e-06,8412,8865,453,IMPROVED
33.0,5.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.0537440116304325e-05,-3.0220503172614786e-06,11162,11759,597,IMPROVED
50.0,5.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.0537440116304325e-05,-3.0220503172614786e-06,17004,17908,904,IMPROVED
25.0,2.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.2270534612408956e-05,-1.2889558211568472e-06,8412,8588,176,IMPROVED
33.0,2.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.2270534612408956e-05,-1.2889558211568472e-06,11162,11393,231,IMPROVED
50.0,2.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.2270534612408956e-05,-1.2889558211568472e-06,17004,17355,351,IMPROVED
25.0,1.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.2901656573950559e-05,-6.578338596152449e-07,8412,8499,87,IMPROVED
33.0,1.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.2901656573950559e-05,-6.578338596152449e-07,11162,11276,114,IMPROVED
50.0,1.0,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.2901656573950559e-05,-6.578338596152449e-07,17004,17178,174,IMPROVED
25.0,0.5,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.32272345165039e-05,-3.3225591706190482e-07,8412,8456,44,IMPROVED
33.0,0.5,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.32272345165039e-05,-3.3225591706190482e-07,11162,11219,57,IMPROVED
50.0,0.5,pi_D,37564,47564,171831920736257,171831920736257,0,3.3559490433565803e-05,3.32272345165039e-05,-3.3225591706190482e-07,17004,17090,86,IMPROVED
25.0,1.0,pi_T,37564,37567,171831920736257,171831920736257.000000001,0.000000001,3.3559490433565803e-05,6.6224989907283919e-05,3.2665499473718116e-05,8412,8155,-257,DETERIORATED
33.0,1.0,pi_T,37564,37567,171831920736257,171831920736257.000000001,0.000000001,3.3559490433565803e-05,6.6224989907283919e-05,3.2665499473718116e-05,11162,10932,-230,DETERIORATED
50.0,1.0,pi_T,37564,37567,171831920736257,171831920736257.000000001,0.000000001,3.3559490433565803e-05,6.6224989907283919e-05,3.2665499473718116e-05,17004,16833,-171,DETERIORATED
25.0,1.0,pi_I,37564,37564,171831920736257,171831920736257.000000001,0.000000001,3.3559490433565803e-05,8.5077087853461226e-05,5.1517597419895423e-05,8412,8152,-260,DETERIORATED
33.0,1.0,pi_I,37564,37564,171831920736257,171831920736257.000000001,0.000000001,3.3559490433565803e-05,8.5077087853461226e-05,5.1517597419895423e-05,11162,10929,-233,DETERIORATED
