population,baseline_holder_count,baseline_total_sats,baseline_hhi,baseline_nakamoto_33,alpha_percent,scenario,holder_count,post_total_sats,supply_diff_sats,hhi,nakamoto_33,delta_hhi,delta_nakamoto,hhi_direction,naka_direction
Top500,500,3398773057384,0.012983541487090534,45,0.5,pi_D,10500,3398773057384,0,0.01285403316075681,46,-0.00012950832633372433,1,IMPROVED,IMPROVED
Top500,500,3398773057384,0.012983541487090534,45,1.0,pi_D,10500,3398773057384,0,0.01272517901149744,48,-0.00025836247559309425,3,IMPROVED,IMPROVED
Top500,500,3398773057384,0.012983541487090534,45,2.0,pi_D,10500,3398773057384,0,0.012469433244201751,50,-0.000514108242888783,5,IMPROVED,IMPROVED
Top500,500,3398773057384,0.012983541487090534,45,5.0,pi_D,10500,3398773057384,0,0.011717896192099207,57,-0.0012656452949913275,12,IMPROVED,IMPROVED
Top500,500,3398773057384,0.012983541487090534,45,10.0,pi_D,10500,3398773057384,0,0.010517668604543328,70,-0.0024658728825472064,25,IMPROVED,IMPROVED
Top1000,1000,5898773057384,0.0046696074091333905,210,0.5,pi_D,11000,5898773057384,0,0.0046230305752272861,212,-4.6576833906104322e-05,2,IMPROVED,IMPROVED
Top1000,1000,5898773057384,0.0046696074091333905,210,1.0,pi_D,11000,5898773057384,0,0.0045766922216916358,214,-9.2915187441754664e-05,4,IMPROVED,IMPROVED
Top1000,1000,5898773057384,0.0046696074091333905,210,2.0,pi_D,11000,5898773057384,0,0.0044847309557317083,218,-0.00018487645340168214,8,IMPROVED,IMPROVED
Top1000,1000,5898773057384,0.0046696074091333905,210,5.0,pi_D,11000,5898773057384,0,0.0042145706867428839,231,-0.0004550367223905066,21,IMPROVED,IMPROVED
Top1000,1000,5898773057384,0.0046696074091333905,210,10.0,pi_D,11000,5898773057384,0,0.003783382001398048,253,-0.00088622540773534248,43,IMPROVED,IMPROVED
Top2000,2000,10898773057384,0.0015783490362944455,540,0.5,pi_D,12000,10898773057384,0,0.0015626075046574098,544,-1.5741531637035715e-05,4,IMPROVED,IMPROVED
Top2000,2000,10898773057384,0.0015783490362944455,540,1.0,pi_D,12000,10898773057384,0,0.0015469498904721866,547,-3.1399145822258879e-05,7,IMPROVED,IMPROVED
Top2000,2000,10898773057384,0.0015783490362944455,540,2.0,pi_D,12000,10898773057384,0,0.0015158864144571862,555,-6.246262183725931e-05,15,IMPROVED,IMPROVED
Top2000,2000,10898773057384,0.0015783490362944455,540,5.0,pi_D,12000,10898773057384,0,0.0014247100052557382,578,-0.00015363903103870731,38,IMPROVED,IMPROVED
Top2000,2000,10898773057384,0.0015783490362944455,540,10.0,pi_D,12000,10898773057384,0,0.0012794627193985016,620,-0.00029888631689594389,80,IMPROVED,IMPROVED
Full,37564,171831920736257,3.3559490433578346e-05,11162,0.5,pi_D,47564,171831920736257,0,3.322723451650375e-05,11219,-3.3225591707459676e-07,57,IMPROVED,IMPROVED
Full,37564,171831920736257,3.3559490433578346e-05,11162,1.0,pi_D,47564,171831920736257,0,3.2901656573950565e-05,11276,-6.57833859627781e-07,114,IMPROVED,IMPROVED
Full,37564,171831920736257,3.3559490433578346e-05,11162,2.0,pi_D,47564,171831920736257,0,3.227053461240899e-05,11393,-1.2889558211693562e-06,231,IMPROVED,IMPROVED
Full,37564,171831920736257,3.3559490433578346e-05,11162,5.0,pi_D,47564,171831920736257,0,3.0537440116304413e-05,11759,-3.0220503172739333e-06,597,IMPROVED,IMPROVED
Full,37564,171831920736257,3.3559490433578346e-05,11162,10.0,pi_D,47564,171831920736257,0,2.8183187251198685e-05,12422,-5.3763031823796609e-06,1260,IMPROVED,IMPROVED
Top500,500,3398773057384,0.012983541487090534,45,0.5,pi_I,500,3398773057384.000000001,0.000000001,0.013341324005791029,43,0.00035778251870049495,-2,DETERIORATED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,2.0,pi_I,500,3398773057384.000000001,0.000000001,0.014489684613582838,36,0.0015061431264923042,-9,DETERIORATED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,5.0,pi_I,500,3398773057384.000000001,0.000000001,0.017123964561772755,22,0.0041404230746822212,-23,DETERIORATED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,0.5,pi_T,503,3398773057384.000000001,0.000000001,0.012862363994090143,46,-0.0001211774930003906,1,IMPROVED,IMPROVED
Top500,500,3398773057384,0.012983541487090534,45,2.0,pi_T,503,3398773057384.000000001,0.000000001,0.012602726577535084,39,-0.00038081490955545021,-6,IMPROVED,DETERIORATED
Top500,500,3398773057384,0.012983541487090534,45,5.0,pi_T,503,3398773057384.000000001,0.000000001,0.012550979525432543,25,-0.0004325619616579908,-20,IMPROVED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,1.0,pi_I,1000,5898773057384.000000001,0.000000001,0.0051591792825470811,202,0.00048957187341369061,-8,DETERIORATED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,10.0,pi_I,1000,5898773057384.000000001,0.000000001,0.012108112857659666,122,0.0074385054485262758,-88,DETERIORATED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,1.0,pi_T,1003,5898773057384.000000001,0.000000001,0.004610015555024969,205,-5.9591854108421473e-05,-5,IMPROVED,DETERIORATED
Top1000,1000,5898773057384,0.0046696074091333905,210,10.0,pi_T,1003,5898773057384.000000001,0.000000001,0.0071157153347313788,125,0.0024461079255979883,-85,DETERIORATED,DETERIORATED
